Originator,Text,Age,Person whose age we surmised
ellispalmer94 ," @jamesinlimbo ooooh, perhaps not propping up a policy of austerity for four years would win votes and not renegading on promises!"
elyzamph , happy birthday to my day one literally  love you chicka can't wait for summer @kenzherbinko ((I know it's late)) http://t.co/SsUL2By2yp
ArseneSidekick , RT @RoamingLibero: Wayne Rooney's career would make a lot more sense if it turned out he's actually been 5 years older than we all thought 
twerkinirwinn ,"  Hey Lukey. @Luke5SOS My birthday is in 4 days, it would be awesome if you followed me. Don't forget @.ausiecalum.  ily babe"
geezbutera , RT @eonline: Ariana Grande celebrates her 21st birthday at Disney Worldhow cute is this princess pic?! http://t.co/ZcYRftv7BP,
brianna8402 , #26goal 500 by my birthday August 4th maybe? @26MgmtTeam ,
katysmileselena , @ArianaGrande @AlexaLuria ARI PLEASE SEE WHAT I MADE FOR U HAPPY BIRTHDAY ILYSM https://t.co/7UlCttolqo  x69,
_MILLER_Lite , RT @Things4WhitePpl: Being a huge soccer fan once every 4 years ,
LeitoxAvila , RT @ZiggoDome: Last year @rihanna was performing here on june 24th when it was our first birthday! Now it is our second! http://t.co/1WSCxo,
milivintage , 16 unique inspiring holiday gifts for your family and friends http://t.co/l3kLbTsjLu #Birthday #Wedding #Anniversary #Gift @retwitclub,
RealRachelBee ," @tyleroakley @OfficialMelB @nbcagt 20 Years, you mean?",
kirstybarrett67 , @eileeno10 meg was class !! I no !! Like Cors and Lakewood are out too!! Typical to put the winners of the last 2 years together in round 1,
Tuqziee , @GOT7Official  Its my birthday jackson please say happy birthday to me ! Make heba noona happy please #GOT7COMEBACK ,-1
Sooonic_Boom , RT @Scotlandteam: Happy birthday @StuartWHOGG_15 - 22 today http://t.co/iUlo9vO9Pi,
5sosftjvstin , @stahpcalumhood: Luke Hemmings of 5SOS please follow me my birthday is less than 9 hours @Luke5SOS,
vman51798 , RT @trueSCRlife: If Messi scores 3 goals we'll give away his #F50 Birthday Boots! Follow &amp; Retweet to enter: #ARGvsNGA http://t.co/ITqmK2ye,
dytijotohyle , RT @asabobby: @LincolnTownley @RealDeniseWelch.....I ain't picked a book up in 4 years....now I can't put 1 down!!....#thehunger #imhooked ,
stellaxxperez ,"  @Luke5SOS from 5sos Its almost my birthday!! I love you so much, and it would make me so happy if you followed me. x222",
emitch1691 , RT @BDence06: Party for my nigga @emitch1691 23rd Birthday Tomorrow night at the crib hmu for details if you tryna slide ,
Nathan_D07 , @ILeagueOfficial 77 years and the quality of Indian football is still shit. #HappyBirthdayAIFF you guys are doing a stellar job!,
RsStickle ," RT @John_Henson: I hate to rain on the World Cup parade...but after it's over, 99% of you people won't even THINK about soccer again for 4 ",,
tnzaynmalik , RT @AlishaMalik_: Happy 27th Birthday to the best football player in the world ! #LionelMessi :),,
tarra_oshea , RT @luketroha: I'm officially a senior in high school and I'm still 16 years old...,16,tarra_oshea 
SalwaS81 , @kb_xiii I think it's meant for slightly older children; I'm not sure a 5 year old can understand what's going on.,,
BigDMason , @samanthalamps happy birthday Sam  have a good one,,
amoi1Deliamero , Hi @Louis_Tomlinson tomorrow is my birthday!Would you be able to have a minute to give me the card with a tweet? I love you so much babe x12,,
twerkinirwinn ,"  Hey Lukey. @Luke5SOS My birthday is in 4 days, it would be awesome if you followed me. Don't forget @.ausiecalum. 727jsn",,
jenna_lawley_ ," RT @troyesivan: @taylorcaniff Dude i sincerely hope you've grown up/changed over the last 2 years. For some reason, you have INFLUENCE. Try",,
harmlesstree2 , @JohnAdam33 It's anti-Jewish aspect was a product/culmination of 1500 years of Christian anti-Semitism,,
jbftcaylen , @breathecaylen HAPPY BIRTHDAY LOLZ JUST SAW U FAVED &amp; DECIDED TO TELL YOU! HOPE YOU HAVE A GOOD ONE ,,
bernikekhun , RT @7_alynn0814: #KhunnieDay @Khunnie0624 Happy 26th birthday http://t.co/7mJ52SFJzV,-1,
ClaudyTheArtist ," FOLLOW @NathanAronowitz FOR HIS BIRTHDAY...BIG 19YRS, PROGRESSIVE BLUES ARTIST AS SEEN ON PBS @WoodSongs TV AND RADIO HOUR...FOLLOW BOTH!",,
Tuqziee , @GOT7Official  Its my birthday jackson please say happy birthday to me ! Make heba noona happy please #GOT7COMEBACK ,,
Steinbergyyy ," RT @thaliasalinass: @Steinbergyyy happy birthday love, hope you have a great one ",,
essence_spark , @holygrounds13 Happy birthday girl! 18 is an unforgettable year. as some blonde girl once said capture it remember it http://t.co/g1kh9am77H,,
ThatBeauGirl , @KeatonStromberg @wesleystromberg CALL ME IT'S MY BIRTHDAY ILY  2,,
mollydillon95 , @alysaokeefe I had my English exam and History public on the same day in grade 11. It's been 2 years and my hand still hasn't recovered.,-1
wynmarquez ," RT @WynAddicts: I posted 48 photos on Facebook in the album ""@wynmarquez' Birthday Celebration with ... http://t.co/ZsPEiyaVJa",
EmilyyyHale , RT @SushiLucyy: @lucyhale Lucy! It's @hale_love's 16th birthday today!! It would mean the world if you tweeted her happy birthday! ,
racheeeelong ," RT @FootballFunnys: Happy Birthday to one of the greatest footballers ever, Zinedine Zidane! #FRA http://t.co/Qbg20ce390",
Charl0tte_l0l , RT @KieranRae22: Must have spent 3 years of my childhood trying to get this thing to have a baby http://t.co/SmDRqnMHr1,
DylanThomasNews , RT @getintofilm: For Dylan Thomas' 100th birthday we're holding a new #filmmaking #competition celebrating the Welsh poet. Enter now - http,
